disable_BBR-learners/policy_2/entropy_step,disable_BBR-learners/policy_1/entropy_step,disable_BBR-learners/policy_3/entropy_step,disable_BBR-learners/policy_4/entropy_step,disable_BBR-learners/policy_5/entropy_step,enable_BBR-learners/policy_2/entropy_step,enable_BBR-learners/policy_1/entropy_step,enable_BBR-learners/policy_3/entropy_step,enable_BBR-learners/policy_4/entropy_step,enable_BBR-learners/policy_5/entropy_step,disable_BBR-learners/policy_6/entropy_step,disable_BBR-learners/policy_7/entropy_step,disable_BBR-learners/policy_8/entropy_step,disable_BBR-learners/policy_9/entropy_step,disable_BBR-learners/policy_10/entropy_step,enable_BBR-learners/policy_6/entropy_step,enable_BBR-learners/policy_7/entropy_step,enable_BBR-learners/policy_8/entropy_step,enable_BBR-learners/policy_9/entropy_step,enable_BBR-learners/policy_10/entropy_step
4.284758567810059,4.276269912719727,4.281661987304688,4.2881574630737305,4.258857727050781,4.241949558258057,4.26243782043457,4.220845699310303,4.265581130981445,4.270337104797363,4.257643699645996,4.232796669006348,4.239009857177734,4.213690280914307,4.275448799133301,4.317768096923828,4.268440246582031,4.248900413513184,4.262401580810547,4.265965938568115
4.280779361724854,4.271985054016113,4.288487911224365,4.303952217102051,4.253061771392822,,,,,,4.260492324829102,4.231253147125244,4.228060722351074,4.209631443023682,4.264036655426025,,,,,
4.273455142974854,4.256097316741943,4.284659385681152,4.297654151916504,4.250972747802734,4.226378917694092,4.247313976287842,4.209170818328857,4.2463908195495605,4.251874923706055,4.24401330947876,4.224648952484131,4.222105503082275,4.201287269592285,4.243979454040527,4.303704738616943,4.251702785491943,4.240979671478271,4.243488788604736,4.248095035552979
4.275680541992188,4.254093170166016,4.2850871086120605,4.295767307281494,4.241738796234131,4.219668388366699,4.243405818939209,4.203075885772705,4.243383407592773,4.245401859283447,4.230515480041504,4.218128204345703,4.214145660400391,4.195544719696045,4.23936939239502,4.304671287536621,4.252375602722168,4.234772205352783,4.235363960266113,4.231456756591797
4.27955436706543,4.254693031311035,4.283840179443359,4.291332244873047,4.235873222351074,4.210623264312744,4.244563102722168,4.195379734039307,4.234225273132324,4.234519004821777,4.224751949310303,4.21278190612793,4.203910827636719,4.184250354766846,4.224328517913818,4.297718048095703,4.24834156036377,4.218222141265869,4.217527866363525,4.221829414367676
4.262426376342773,4.235868453979492,4.287290096282959,4.282966136932373,4.222361087799072,4.213871002197266,4.22097635269165,4.188385963439941,4.2326436042785645,4.22428035736084,4.209070682525635,4.191571712493896,4.198562145233154,4.123184204101562,4.186272144317627,4.266172409057617,4.232219219207764,4.198623657226562,4.157255172729492,4.166475296020508
4.254382133483887,4.218363761901855,4.278640747070312,4.281292915344238,4.225254058837891,4.201443672180176,4.204925537109375,4.180121898651123,4.223687171936035,4.19918155670166,4.186302661895752,4.171211242675781,4.167216300964355,4.092338562011719,4.159531593322754,4.253107070922852,4.220210075378418,4.1853928565979,4.124722003936768,4.142200469970703
4.262071132659912,4.219859600067139,4.273881912231445,4.268264770507812,4.220337867736816,4.204190731048584,4.182791709899902,4.156583786010742,4.222644329071045,4.185546398162842,4.18303918838501,4.149511337280273,4.158924579620361,4.086945056915283,4.144252777099609,4.229199886322021,4.196424961090088,4.171231746673584,4.107425212860107,4.104177474975586
4.24848747253418,4.214983463287354,4.268202304840088,4.26754093170166,4.211961269378662,4.198283672332764,4.166622161865234,4.141789436340332,4.215116500854492,4.167428493499756,4.164947986602783,4.137744426727295,4.142322540283203,4.064201831817627,4.111770629882812,4.204178810119629,4.170231819152832,4.147820472717285,4.053370952606201,4.092100143432617
4.237800121307373,4.201909065246582,4.267230987548828,4.256473541259766,4.19450044631958,4.174898624420166,4.141201496124268,4.124563217163086,4.209177017211914,4.130650520324707,4.16101598739624,4.097605228424072,4.126953125,4.038008689880371,4.083858013153076,4.180190563201904,4.130780696868896,4.119829654693604,4.038277626037598,4.029332160949707
4.241628170013428,4.205068111419678,4.262110710144043,4.233243942260742,4.185890197753906,4.17339563369751,4.111855030059814,4.107451438903809,4.210035800933838,4.096738815307617,4.13946008682251,4.076189041137695,4.112665176391602,4.007336616516113,4.043812274932861,4.155770301818848,4.101213932037354,4.090460300445557,3.9931881427764893,4.009270668029785
4.225538730621338,4.187637329101562,4.25056266784668,4.232234477996826,4.178486824035645,4.160425186157227,4.084829807281494,4.087286472320557,4.185680866241455,4.064697742462158,4.12755298614502,4.048989295959473,4.09327507019043,3.971746683120728,3.987676620483398,4.134440422058105,4.079467296600342,4.051202774047852,3.973874807357788,3.949955463409424
4.2282490730285645,4.185154438018799,4.243189334869385,4.221520900726318,4.160999298095703,4.137864589691162,4.055680274963379,4.067783832550049,4.156113147735596,4.015316009521484,4.088147640228271,4.018163204193115,4.067448139190674,3.95213794708252,3.922379732131958,4.10998010635376,4.039762496948242,4.030779361724854,3.934256792068481,3.916202306747437
4.222673892974854,4.169652462005615,4.233093738555908,4.196023464202881,4.155762195587158,4.101117134094238,4.028149127960205,4.033010959625244,4.142478942871094,3.990196466445923,4.045575141906738,3.9851596355438232,4.048102378845215,3.920747041702271,3.904512643814087,4.076834201812744,3.9997048377990723,3.992226123809814,3.890583753585815,3.852966547012329
4.198232650756836,4.152401447296143,4.213382244110107,4.162660121917725,4.111382007598877,4.093553066253662,3.99811863899231,4.009346961975098,4.10955286026001,3.936025381088257,4.00855016708374,3.956345319747925,4.024363994598389,3.855551719665527,3.851999998092651,4.050333499908447,3.9878945350646973,3.946524858474731,3.8385250568389893,3.79771089553833
4.184926986694336,4.145570755004883,4.206395626068115,4.141726016998291,4.110788822174072,4.057970523834229,3.975244522094727,3.983449935913086,4.066554546356201,3.8690836429595947,3.975723743438721,3.907356739044189,3.997230291366577,3.816924095153809,3.815411567687988,4.010891914367676,3.947828769683838,3.90233588218689,3.789885520935059,3.764315128326416
4.167250633239746,4.12738561630249,4.175560474395752,4.115103721618652,4.068272590637207,4.013621807098389,3.933570623397827,3.967966794967651,4.004539966583252,3.836970806121826,3.935225248336792,3.857252836227417,3.970043420791626,3.7900173664093018,3.7392947673797607,3.983400821685791,3.913773059844971,3.886244058609009,3.744531154632568,3.720414400100708
